codigo,espessura,raio_de_dobra,k_factor,coeficiente,dobra_minima,tipo
#20,0.90,0.54,0.165,7.2,6,lisa
#18,1.20,0.72,0.165,9.6,7,lisa
#16,1.50,0.90,0.165,12.0,8,lisa
#14,2.00,1.20,0.165,16.0,10,lisa
#13,2.25,1.35,0.165,18.0,10,lisa
#12,2.65,1.59,0.165,21.2,12,lisa
#11,3.00,1.80,0.165,24.0,12,lisa
#10,3.35,2.01,0.165,26.8,14,lisa
#9,3.75,2.25,0.165,30.0,14,lisa
#8,4.25,2.55,0.165,34.0,15,lisa
#3/16,4.75,2.85,0.165,38.0,18,lisa
#1/4,6.30,3.78,0.165,50.4,20,lisa
#5/16,8.00,4.80,0.165,64.0,22,lisa
#3/8,9.50,5.70,0.165,76.0,25,lisa
#1/2,12.50,7.50,0.165,100.0,30,lisa
#5/8,16.00,9.60,0.165,128.0,35,lisa
#3/4,19.00,11.40,0.165,152.0,40,lisa
#16BZ,1.50,0.90,0.165,12.0,8,galvanizada
#14BZ,2.00,1.20,0.165,16.0,10,galvanizada
#12BZ,2.65,1.59,0.165,21.2,12,galvanizada
#12XDZ,2.65,2.19,0.165,24.2,12,xadrez
#11XDZ,3.00,2.40,0.165,27.0,12,xadrez
#3/16XDZ,4.75,3.45,0.165,41.0,18,xadrez
